link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17],dst[18],dst[19],dst[20],dst[21],dst[22]
8492,1274,3,1,1,8458,8461,8462,8463,8464,8465,8466,8467,8468,8470,8471,8472,8473,8474,8475,8476,8477,8479,8480,8481,8482,13900,14005
8493,1274,3,1,1,8419,8423,,,,,,,,,,,,,,,,,,,,,
8494,1274,3,1,1,8457,,,,,,,,,,,,,,,,,,,,,,
8501,1279,1278,2,256,8456,,,,,,,,,,,,,,,,,,,,,,
8516,1430,1423,2,4096,8421,,,,,,,,,,,,,,,,,,,,,,
8517,1424,1423,2,512,19746,19747,,,,,,,,,,,,,,,,,,,,,
8518,1427,1423,1,128,8454,,,,,,,,,,,,,,,,,,,,,,
8537,1613,1612,2,1048576,14376,14383,,,,,,,,,,,,,,,,,,,,,
8541,1626,1625,2,4096,8421,,,,,,,,,,,,,,,,,,,,,,
8545,1636,1635,2,16384,8442,,,,,,,,,,,,,,,,,,,,,,
8549,1666,1665,2,16384,8446,,,,,,,,,,,,,,,,,,,,,,
8553,1696,1695,2,16384,8443,,,,,,,,,,,,,,,,,,,,,,
8557,1726,1725,2,16384,8447,,,,,,,,,,,,,,,,,,,,,,
8561,1756,1755,2,16384,8444,,,,,,,,,,,,,,,,,,,,,,
8565,1786,1785,2,16384,8448,,,,,,,,,,,,,,,,,,,,,,
8569,1816,1815,2,16384,8445,,,,,,,,,,,,,,,,,,,,,,
8573,1846,1845,2,16384,8449,,,,,,,,,,,,,,,,,,,,,,
8577,1908,1907,2,1048576,14379,,,,,,,,,,,,,,,,,,,,,,
8581,1921,1920,2,1048576,14379,,,,,,,,,,,,,,,,,,,,,,
8585,1934,1933,2,1048576,14377,14378,,,,,,,,,,,,,,,,,,,,,
8589,1947,1946,2,1048576,14378,,,,,,,,,,,,,,,,,,,,,,
8592,1212,8418,2,256,1278,12283,12433,,,,,,,,,,,,,,,,,,,,
8594,1213,8419,1,64,8418,,,,,,,,,,,,,,,,,,,,,,
8595,1213,8419,1,64,8418,,,,,,,,,,,,,,,,,,,,,,
8603,1217,8421,2,4096,1423,,,,,,,,,,,,,,,,,,,,,,
8604,1217,8421,2,4096,1423,,,,,,,,,,,,,,,,,,,,,,
8605,1217,8421,2,4096,1423,,,,,,,,,,,,,,,,,,,,,,
8608,1218,8422,2,65536,12645,12770,12895,13020,13299,13414,13529,13644,,,,,,,,,,,,,,,
8610,1219,8423,1,16384,8422,,,,,,,,,,,,,,,,,,,,,,
8611,1219,8423,1,16384,8422,,,,,,,,,,,,,,,,,,,,,,
8705,1252,8442,2,4096,8446,,,,,,,,,,,,,,,,,,,,,,
8707,1253,8443,2,4096,8447,,,,,,,,,,,,,,,,,,,,,,
8709,1254,8444,2,4096,8448,,,,,,,,,,,,,,,,,,,,,,
8711,1255,8445,2,4096,8449,,,,,,,,,,,,,,,,,,,,,,
8714,1257,8446,2,4096,18686,,,,,,,,,,,,,,,,,,,,,,
8717,1258,8447,2,4096,19004,,,,,,,,,,,,,,,,,,,,,,
8720,1259,8448,2,4096,19325,,,,,,,,,,,,,,,,,,,,,,
8723,1260,8449,2,4096,19646,,,,,,,,,,,,,,,,,,,,,,
8745,1268,8454,1,128,19746,,,,,,,,,,,,,,,,,,,,,,
8757,1270,8456,1,64,8459,,,,,,,,,,,,,,,,,,,,,,
8759,1271,8457,1,64,8456,,,,,,,,,,,,,,,,,,,,,,
8760,1271,8457,1,64,8456,,,,,,,,,,,,,,,,,,,,,,
8762,1272,8458,2,256,8456,,,,,,,,,,,,,,,,,,,,,,
8764,1273,8459,1,1,3,,,,,,,,,,,,,,,,,,,,,,
8784,1323,8461,2,524288,20338,,,,,,,,,,,,,,,,,,,,,,
8785,1323,8461,2,524288,20342,,,,,,,,,,,,,,,,,,,,,,
8787,1326,8462,2,524288,20342,,,,,,,,,,,,,,,,,,,,,,
8788,1326,8462,2,524288,20338,,,,,,,,,,,,,,,,,,,,,,
8790,1329,8463,2,524288,20337,,,,,,,,,,,,,,,,,,,,,,
8791,1329,8463,2,524288,20342,,,,,,,,,,,,,,,,,,,,,,
8793,1332,8464,2,524288,20337,,,,,,,,,,,,,,,,,,,,,,
8794,1332,8464,2,524288,20342,,,,,,,,,,,,,,,,,,,,,,
8796,1335,8465,2,524288,20335,,,,,,,,,,,,,,,,,,,,,,
8797,1335,8465,2,524288,20341,,,,,,,,,,,,,,,,,,,,,,
8799,1338,8466,2,524288,20341,,,,,,,,,,,,,,,,,,,,,,
8800,1338,8466,2,524288,20335,,,,,,,,,,,,,,,,,,,,,,
8802,1341,8467,2,524288,20334,,,,,,,,,,,,,,,,,,,,,,
8803,1341,8467,2,524288,20340,,,,,,,,,,,,,,,,,,,,,,
8805,1344,8468,2,524288,20340,,,,,,,,,,,,,,,,,,,,,,
8806,1344,8468,2,524288,20334,,,,,,,,,,,,,,,,,,,,,,
8826,1468,8470,2,524288,20979,,,,,,,,,,,,,,,,,,,,,,
8827,1468,8470,2,524288,20986,,,,,,,,,,,,,,,,,,,,,,
8829,1471,8471,2,524288,20979,,,,,,,,,,,,,,,,,,,,,,
8830,1471,8471,2,524288,20986,,,,,,,,,,,,,,,,,,,,,,
8832,1474,8472,2,524288,20986,,,,,,,,,,,,,,,,,,,,,,
8833,1474,8472,2,524288,20978,,,,,,,,,,,,,,,,,,,,,,
8835,1477,8473,2,524288,20978,,,,,,,,,,,,,,,,,,,,,,
8836,1477,8473,2,524288,20986,,,,,,,,,,,,,,,,,,,,,,
8838,1480,8474,2,524288,20981,,,,,,,,,,,,,,,,,,,,,,
8839,1480,8474,2,524288,20985,,,,,,,,,,,,,,,,,,,,,,
8841,1483,8475,2,524288,20981,,,,,,,,,,,,,,,,,,,,,,
8842,1483,8475,2,524288,20985,,,,,,,,,,,,,,,,,,,,,,
8844,1486,8476,2,524288,20984,,,,,,,,,,,,,,,,,,,,,,
8845,1486,8476,2,524288,20982,,,,,,,,,,,,,,,,,,,,,,
8847,1489,8477,2,524288,20982,,,,,,,,,,,,,,,,,,,,,,
8848,1489,8477,2,524288,20984,,,,,,,,,,,,,,,,,,,,,,
8860,1560,8479,2,1048576,22500,,,,,,,,,,,,,,,,,,,,,,
8861,1560,8479,2,1048576,21299,,,,,,,,,,,,,,,,,,,,,,
8863,1563,8480,2,1048576,21299,,,,,,,,,,,,,,,,,,,,,,
8864,1563,8480,2,1048576,22500,,,,,,,,,,,,,,,,,,,,,,
8866,1566,8481,2,1048576,21297,,,,,,,,,,,,,,,,,,,,,,
8867,1566,8481,2,1048576,21299,,,,,,,,,,,,,,,,,,,,,,
8869,1569,8482,2,1048576,21297,,,,,,,,,,,,,,,,,,,,,,
8870,1569,8482,2,1048576,21299,,,,,,,,,,,,,,,,,,,,,,
12432,12285,12283,2,131072,15123,,,,,,,,,,,,,,,,,,,,,,
12431,12285,12283,2,524288,14761,,,,,,,,,,,,,,,,,,,,,,
12430,12285,12283,2,4096,15748,16114,16744,17111,17737,18099,,,,,,,,,,,,,,,,,
12642,12285,12283,2,524288,14761,,,,,,,,,,,,,,,,,,,,,,
12643,12285,12283,2,131072,15123,,,,,,,,,,,,,,,,,,,,,,
12644,12285,12283,2,4096,15748,16114,16744,17111,17737,18099,,,,,,,,,,,,,,,,,
12582,12435,12433,2,131072,15123,,,,,,,,,,,,,,,,,,,,,,
12581,12435,12433,2,524288,14761,,,,,,,,,,,,,,,,,,,,,,
12580,12435,12433,2,4096,15748,16114,16744,17111,17737,18099,,,,,,,,,,,,,,,,,
12769,12647,12645,2,524288,14760,,,,,,,,,,,,,,,,,,,,,,
12768,12647,12645,2,131072,15122,,,,,,,,,,,,,,,,,,,,,,
12767,12647,12645,2,4096,15751,16117,16747,17110,17736,18098,,,,,,,,,,,,,,,,,
13290,12647,12645,2,4096,15751,16117,16747,17110,17736,18098,,,,,,,,,,,,,,,,,
13291,12647,12645,2,524288,14760,,,,,,,,,,,,,,,,,,,,,,
13292,12647,12645,2,131072,15122,,,,,,,,,,,,,,,,,,,,,,
12894,12772,12770,2,524288,14760,,,,,,,,,,,,,,,,,,,,,,
12893,12772,12770,2,131072,15122,,,,,,,,,,,,,,,,,,,,,,
12892,12772,12770,2,4096,15751,16117,16747,17110,17736,18098,,,,,,,,,,,,,,,,,
13293,12772,12770,2,524288,14758,,,,,,,,,,,,,,,,,,,,,,
13294,12772,12770,2,131072,15120,,,,,,,,,,,,,,,,,,,,,,
13295,12772,12770,2,4096,15749,16115,16745,17108,17734,18096,,,,,,,,,,,,,,,,,
13019,12897,12895,2,524288,14759,,,,,,,,,,,,,,,,,,,,,,
13018,12897,12895,2,131072,15121,,,,,,,,,,,,,,,,,,,,,,
13017,12897,12895,2,4096,15750,16116,16746,17109,17735,18097,,,,,,,,,,,,,,,,,
13296,12897,12895,2,131072,15121,,,,,,,,,,,,,,,,,,,,,,
13297,12897,12895,2,524288,14759,,,,,,,,,,,,,,,,,,,,,,
13298,12897,12895,2,4096,15750,16116,16746,17109,17735,18097,,,,,,,,,,,,,,,,,
13144,13022,13020,2,524288,14759,,,,,,,,,,,,,,,,,,,,,,
13143,13022,13020,2,131072,15121,,,,,,,,,,,,,,,,,,,,,,
13142,13022,13020,2,4096,15750,16116,16746,17109,17735,18097,,,,,,,,,,,,,,,,,
13413,13301,13299,2,4096,19006,19327,19649,,,,,,,,,,,,,,,,,,,,
13412,13301,13299,2,1048576,18685,,,,,,,,,,,,,,,,,,,,,,
13833,13301,13299,2,1048576,18685,,,,,,,,,,,,,,,,,,,,,,
13834,13301,13299,2,4096,19006,19327,19649,,,,,,,,,,,,,,,,,,,,
13528,13416,13414,2,4096,19006,19327,19649,,,,,,,,,,,,,,,,,,,,
13527,13416,13414,2,1048576,18685,,,,,,,,,,,,,,,,,,,,,,
13835,13416,13414,2,1048576,18683,,,,,,,,,,,,,,,,,,,,,,
13836,13416,13414,2,4096,19005,19326,19647,,,,,,,,,,,,,,,,,,,,
13643,13531,13529,2,4096,19007,19328,19648,,,,,,,,,,,,,,,,,,,,
13642,13531,13529,2,1048576,18684,,,,,,,,,,,,,,,,,,,,,,
13837,13531,13529,2,4096,19007,19328,19648,,,,,,,,,,,,,,,,,,,,
13838,13531,13529,2,1048576,18684,,,,,,,,,,,,,,,,,,,,,,
13758,13646,13644,2,4096,19007,19328,19648,,,,,,,,,,,,,,,,,,,,
13757,13646,13644,2,1048576,18684,,,,,,,,,,,,,,,,,,,,,,
8600,13839,13899,2,256,12283,12433,,,,,,,,,,,,,,,,,,,,,
8598,13839,13899,2,256,1278,,,,,,,,,,,,,,,,,,,,,,
8597,13839,13899,2,256,1278,,,,,,,,,,,,,,,,,,,,,,
8599,13840,13900,2,256,12283,12433,,,,,,,,,,,,,,,,,,,,,
13905,13840,13900,2,256,13899,,,,,,,,,,,,,,,,,,,,,,
13906,13840,13900,2,256,13899,,,,,,,,,,,,,,,,,,,,,,
13907,13840,13900,2,256,13899,,,,,,,,,,,,,,,,,,,,,,
8615,13908,14004,2,65536,12645,12770,12895,13020,13299,13414,13529,13644,,,,,,,,,,,,,,,
8613,13908,14004,2,65536,12645,12770,12895,13020,,,,,,,,,,,,,,,,,,,
8614,13909,14005,2,65536,13299,13414,13529,13644,,,,,,,,,,,,,,,,,,,
14010,13909,14005,2,65536,14004,,,,,,,,,,,,,,,,,,,,,,
14011,13909,14005,2,65536,14004,,,,,,,,,,,,,,,,,,,,,,
14012,13909,14005,2,65536,14004,,,,,,,,,,,,,,,,,,,,,,
8623,14013,14375,2,1048576,1612,1625,,,,,,,,,,,,,,,,,,,,,
14390,14014,14376,2,1048576,14375,,,,,,,,,,,,,,,,,,,,,,
14391,14014,14376,2,1048576,14375,,,,,,,,,,,,,,,,,,,,,,
14396,14015,14377,2,1048576,14376,,,,,,,,,,,,,,,,,,,,,,
14399,14016,14378,2,1048576,14377,,,,,,,,,,,,,,,,,,,,,,
14403,14017,14379,2,1048576,14376,14377,,,,,,,,,,,,,,,,,,,,,
14407,14018,14380,2,1048576,14379,,,,,,,,,,,,,,,,,,,,,,
14408,14018,14380,2,1048576,14376,,,,,,,,,,,,,,,,,,,,,,
14410,14019,14381,2,1048576,14380,,,,,,,,,,,,,,,,,,,,,,
14413,14020,14382,2,1048576,14377,14380,,,,,,,,,,,,,,,,,,,,,
14414,14020,14382,2,1048576,14380,14381,,,,,,,,,,,,,,,,,,,,,
8622,14021,14383,2,1048576,1612,1625,,,,,,,,,,,,,,,,,,,,,
8621,14021,14383,2,1048576,1612,1625,,,,,,,,,,,,,,,,,,,,,
14416,14021,14383,2,1048576,14382,,,,,,,,,,,,,,,,,,,,,,
14417,14021,14383,2,1048576,14382,,,,,,,,,,,,,,,,,,,,,,
8626,14418,14757,2,131072,15266,15267,,,,,,,,,,,,,,,,,,,,,
14767,14419,14758,2,524288,14757,,,,,,,,,,,,,,,,,,,,,,
14771,14420,14759,2,524288,14758,,,,,,,,,,,,,,,,,,,,,,
14775,14421,14760,2,524288,14758,,,,,,,,,,,,,,,,,,,,,,
14779,14422,14761,2,524288,14758,,,,,,,,,,,,,,,,,,,,,,
8629,14780,15119,2,131072,15398,15399,,,,,,,,,,,,,,,,,,,,,
15129,14781,15120,2,524288,15119,,,,,,,,,,,,,,,,,,,,,,
15133,14782,15121,2,524288,15120,,,,,,,,,,,,,,,,,,,,,,
15137,14783,15122,2,524288,15120,,,,,,,,,,,,,,,,,,,,,,
15141,14784,15123,2,524288,15120,,,,,,,,,,,,,,,,,,,,,,
8632,15142,15266,1,131072,21452,,,,,,,,,,,,,,,,,,,,,,
8634,15142,15266,1,131072,21453,,,,,,,,,,,,,,,,,,,,,,
8635,15142,15266,1,131072,21453,,,,,,,,,,,,,,,,,,,,,,
8631,15142,15266,1,131072,21591,,,,,,,,,,,,,,,,,,,,,,
8633,15143,15267,1,131072,21591,,,,,,,,,,,,,,,,,,,,,,
8636,15143,15267,1,131072,21590,,,,,,,,,,,,,,,,,,,,,,
15272,15143,15267,1,131072,15266,,,,,,,,,,,,,,,,,,,,,,
15273,15143,15267,1,131072,15266,,,,,,,,,,,,,,,,,,,,,,
8642,15274,15398,1,131072,21452,,,,,,,,,,,,,,,,,,,,,,
8643,15274,15398,1,131072,21453,,,,,,,,,,,,,,,,,,,,,,
8638,15274,15398,1,131072,21591,,,,,,,,,,,,,,,,,,,,,,
8640,15274,15398,1,131072,21453,,,,,,,,,,,,,,,,,,,,,,
8639,15275,15399,1,131072,21591,,,,,,,,,,,,,,,,,,,,,,
8641,15275,15399,1,131072,21590,,,,,,,,,,,,,,,,,,,,,,
15404,15275,15399,1,131072,15398,,,,,,,,,,,,,,,,,,,,,,
15405,15275,15399,1,131072,15398,,,,,,,,,,,,,,,,,,,,,,
8646,15406,15747,2,131072,16262,16263,,,,,,,,,,,,,,,,,,,,,
15758,15407,15748,2,524288,15747,,,,,,,,,,,,,,,,,,,,,,
15762,15408,15749,2,524288,15747,,,,,,,,,,,,,,,,,,,,,,
15766,15409,15750,2,524288,15749,,,,,,,,,,,,,,,,,,,,,,
15770,15410,15751,2,524288,15747,,,,,,,,,,,,,,,,,,,,,,
15771,15410,15751,2,524288,15749,,,,,,,,,,,,,,,,,,,,,,
8649,15772,16113,2,131072,16394,16395,,,,,,,,,,,,,,,,,,,,,
16124,15773,16114,2,524288,16113,,,,,,,,,,,,,,,,,,,,,,
16128,15774,16115,2,524288,16113,,,,,,,,,,,,,,,,,,,,,,
16132,15775,16116,2,524288,16115,,,,,,,,,,,,,,,,,,,,,,
16136,15776,16117,2,524288,16113,,,,,,,,,,,,,,,,,,,,,,
16137,15776,16117,2,524288,16115,,,,,,,,,,,,,,,,,,,,,,
